player_name,year,rank,slam_wins,slam_names
Roger Federer,2000,29,0,
Roger Federer,2001,13,0,
Roger Federer,2002,6,0,
Roger Federer,2003,2,1,Wimbledon
Roger Federer,2004,1,3,"Australian Open, US Open, Wimbledon"
Roger Federer,2005,1,2,"US Open, Wimbledon"
Roger Federer,2006,1,3,"Australian Open, US Open, Wimbledon"
Roger Federer,2007,1,3,"Australian Open, US Open, Wimbledon"
Roger Federer,2008,2,1,US Open
Roger Federer,2009,1,2,"Roland Garros, Wimbledon"
Roger Federer,2010,2,1,Australian Open
Roger Federer,2011,3,0,
Roger Federer,2012,2,1,Wimbledon
Roger Federer,2013,6,0,
Roger Federer,2014,2,0,
Roger Federer,2015,3,0,
Roger Federer,2016,16,0,
Roger Federer,2017,2,2,"Australian Open, Wimbledon"
Roger Federer,2018,3,1,Australian Open
Roger Federer,2019,3,0,
Roger Federer,2020,5,0,
Roger Federer,2021,16,0,
Roger Federer,2022,97,0,
Rafael Nadal,2001,811,0,
Rafael Nadal,2002,200,0,
Rafael Nadal,2003,49,0,
Rafael Nadal,2004,51,0,
Rafael Nadal,2005,2,1,Roland Garros
Rafael Nadal,2006,2,1,Roland Garros
Rafael Nadal,2007,2,1,Roland Garros
Rafael Nadal,2008,1,2,"Roland Garros, Wimbledon"
Rafael Nadal,2009,2,1,Australian Open
Rafael Nadal,2010,1,3,"Roland Garros, US Open, Wimbledon"
Rafael Nadal,2011,2,1,Roland Garros
Rafael Nadal,2012,4,1,Roland Garros
Rafael Nadal,2013,1,2,"Roland Garros, US Open"
Rafael Nadal,2014,3,1,Roland Garros
Rafael Nadal,2015,5,0,
Rafael Nadal,2016,9,0,
Rafael Nadal,2017,1,2,"Roland Garros, US Open"
Rafael Nadal,2018,2,1,Roland Garros
Rafael Nadal,2019,1,2,"Roland Garros, US Open"
Rafael Nadal,2020,2,1,Roland Garros
Rafael Nadal,2021,6,0,
Rafael Nadal,2022,2,2,"Australian Open, Roland Garros"
Rafael Nadal,2023,670,0,
Rafael Nadal,2024,153,0,
Novak Djokovic,2003,679,0,
Novak Djokovic,2004,186,0,
Novak Djokovic,2005,78,0,
Novak Djokovic,2006,16,0,
Novak Djokovic,2007,3,0,
Novak Djokovic,2008,3,1,Australian Open
Novak Djokovic,2009,3,0,
Novak Djokovic,2010,3,0,
Novak Djokovic,2011,1,3,"Australian Open, US Open, Wimbledon"
Novak Djokovic,2012,1,1,Australian Open
Novak Djokovic,2013,2,1,Australian Open
Novak Djokovic,2014,1,1,Wimbledon
Novak Djokovic,2015,1,3,"Australian Open, US Open, Wimbledon"
Novak Djokovic,2016,2,2,"Australian Open, Roland Garros"
Novak Djokovic,2017,12,0,
Novak Djokovic,2018,1,2,"US Open, Wimbledon"
Novak Djokovic,2019,2,2,"Australian Open, Wimbledon"
Novak Djokovic,2020,1,1,Australian Open
Novak Djokovic,2021,1,3,"Australian Open, Roland Garros, Wimbledon"
Novak Djokovic,2022,5,1,Wimbledon
Novak Djokovic,2023,1,3,"Australian Open, Roland Garros, Us Open"
Novak Djokovic,2024,7,0,
Jannik Sinner,2018,551,0,
Jannik Sinner,2019,78,0,
Jannik Sinner,2020,37,0,
Jannik Sinner,2021,10,0,
Jannik Sinner,2022,15,0,
Jannik Sinner,2023,4,0,
Jannik Sinner,2024,1,2,"Australian Open, Us Open"
Carlos Alcaraz,2018,1490,0,
Carlos Alcaraz,2019,492,0,
Carlos Alcaraz,2020,141,0,
Carlos Alcaraz,2021,32,0,
Carlos Alcaraz,2022,1,1,Us Open
Carlos Alcaraz,2023,2,1,Wimbledon
Carlos Alcaraz,2024,3,2,"Roland Garros, Wimbledon"
