player_name,year,rank,slam_wins,slam_names
Justine Henin,2000,39,0,
Justine Henin,2001,5,0,
Justine Henin,2002,4,0,
Justine Henin,2003,1,2,"Roland Garros, US Open"
Justine Henin,2004,1,1,Australian Open
Justine Henin,2005,5,1,Roland Garros
Justine Henin,2006,1,1,Roland Garros
Justine Henin,2007,1,2,"Roland Garros, US Open"
Justine Henin,2008,1,0,
Justine Henin,2010,12,0,
Justine Henin,2011,12,0,
Serena Williams,2000,4,0,
Serena Williams,2001,5,0,
Serena Williams,2002,1,3,"Roland Garros, US Open, Wimbledon"
Serena Williams,2003,1,2,"Australian Open, Wimbledon"
Serena Williams,2004,3,0,
Serena Williams,2005,2,1,Australian Open
Serena Williams,2006,11,0,
Serena Williams,2007,5,1,Australian Open
Serena Williams,2008,2,1,US Open
Serena Williams,2009,1,2,"Australian Open, Wimbledon"
Serena Williams,2010,1,2,"Australian Open, Wimbledon"
Serena Williams,2011,4,0,
Serena Williams,2012,3,2,"US Open, Wimbledon"
Serena Williams,2013,1,2,"Roland Garros, US Open"
Serena Williams,2014,1,1,US Open
Serena Williams,2015,1,3,"Australian Open, Roland Garros, Wimbledon"
Serena Williams,2016,1,1,Wimbledon
Serena Williams,2017,1,1,Australian Open
Serena Williams,2018,15,0,
Serena Williams,2019,8,0,
Serena Williams,2020,8,0,
Serena Williams,2021,7,0,
Serena Williams,2022,41,0,
Iga Swiatek,2016,841,0,
Iga Swiatek,2017,587,0,
Iga Swiatek,2018,174,0,
Iga Swiatek,2019,49,0,
Iga Swiatek,2020,17,1,Roland Garros
Iga Swiatek,2021,4,0,
Iga Swiatek,2022,1,2,"Roland Garros, Us Open"
Iga Swiatek,2023,1,1,Roland Garros
Iga Swiatek,2024,1,1,Roland Garros
