year,gender,minutes
2000,ATP,99.16376663254862
2001,ATP,100.94854434664862
2002,ATP,101.75532670454545
2003,ATP,100.43978873239436
2004,ATP,100.57571528262386
2005,ATP,101.97548342541437
2006,ATP,104.37249481686247
2007,ATP,103.19527051236116
2008,ATP,105.33418181818182
2009,ATP,107.44874631268436
2010,ATP,107.07487832272557
2010,WTA,192.33333333333334
2011,ATP,108.26758982035928
2011,WTA,284.0
2012,ATP,110.28094523630908
2013,ATP,103.7821401077752
2014,ATP,104.477734375
2015,ATP,105.039970392302
2015,WTA,230.0
2016,WTA,94.95334685598377
2017,WTA,97.5952712100139
2018,WTA,96.03839338452451
2019,WTA,95.45973333333333
2020,WTA,97.13548387096775
2021,WTA,96.7133303611235
2022,WTA,99.23484486873508
2023,WTA,101.4598961338719
2024,WTA,100.4674593241552
