year,gender,minutes,smooth_minutes
2000,ATP,99.16376663254862,100.05615548959861
2001,ATP,100.94854434664862,100.62254589458091
2002,ATP,101.75532670454545,101.04788659452947
2003,ATP,100.43978873239436,100.92361023985457
2004,ATP,100.57571528262386,100.99699581347754
2005,ATP,101.97548342541437,102.30789784163358
2006,ATP,104.37249481686247,103.18108291821267
2007,ATP,103.19527051236116,104.30064904913515
2008,ATP,105.33418181818182,105.32606621440912
2009,ATP,107.44874631268436,106.61926881786393
2010,ATP,107.07487832272557,107.5970714852564
2010,WTA,192.33333333333334,238.16666666666669
2011,ATP,108.26758982035928,108.54113779313131
2011,WTA,284.0,235.44444444444446
2012,ATP,110.28094523630908,107.44355838814785
2013,ATP,103.7821401077752,106.18027323969477
2014,ATP,104.477734375,104.43328162502571
2015,ATP,105.039970392302,104.75885238365098
2015,WTA,230.0,202.9844489519946
2016,WTA,94.95334685598377,140.84953935533255
2017,WTA,97.5952712100139,96.1956704835074
2018,WTA,96.03839338452451,96.36446597595726
2019,WTA,95.45973333333333,96.21120352960854
2020,WTA,97.13548387096775,96.43618252180819
2021,WTA,96.7133303611235,97.69455303360877
2022,WTA,99.23484486873508,99.13602378791016
2023,WTA,101.4598961338719,100.38740010892072
2024,WTA,100.4674593241552,100.96367772901354
