year,tour,matches,aces,total_points,serve_points_won,aces_per_match,aces_per_100_points,serve_dom_index
2000,ATP,2941,34073.0,464785.0,289225.0,11.585515130907854,7.330916445238121,62.22769667695816
2001,ATP,3060,34462.0,481689.0,298863.0,11.262091503267975,7.1544087575178175,62.04480484295884
2002,ATP,2840,32022.0,451865.0,281190.0,11.275352112676057,7.0866298562623795,62.228763015502416
2003,ATP,2716,30647.0,426902.0,266010.0,11.283873343151694,7.178930995872589,62.311724939213214
2003,WTA,366,1554.0,48953.0,27250.0,4.245901639344262,3.1744734745572285,55.66563846955243
2004,ATP,2880,33642.0,451795.0,284035.0,11.68125,7.44629754645359,62.86811496364501
2004,WTA,410,1985.0,57575.0,31814.0,4.841463414634147,3.447676943117673,55.256621797655235
2005,ATP,2912,33137.0,454282.0,284113.0,11.379464285714286,7.294367815585914,62.54110882667594
2005,WTA,552,2748.0,78203.0,43349.0,4.978260869565218,3.513931690600105,55.43137731289081
2006,ATP,2908,31997.0,458612.0,285882.0,11.003094910591471,6.976921667989498,62.33635404219689
2006,WTA,1341,6136.0,183965.0,102598.0,4.575689783743475,3.3354170630282933,55.77039110700405
2007,ATP,2899,33516.0,447240.0,282200.0,11.561228009658503,7.493962972900456,63.0981128700474
2007,WTA,1940,9069.0,265296.0,148022.0,4.674742268041237,3.418445811470961,55.795036487545985
2008,ATP,2673,31907.0,421008.0,266172.0,11.936775158997381,7.5787158438794515,63.22255159046859
2008,WTA,1912,8661.0,267822.0,148762.0,4.529811715481172,3.233864282993929,55.54510085056493
2009,ATP,2726,32660.0,427870.0,270767.0,11.98092443140132,7.633159604552785,63.282539088975625
2009,WTA,2153,9764.0,301115.0,167514.0,4.535067347886669,3.2426149477774273,55.63123723494346
2010,ATP,2716,33274.0,425076.0,269399.0,12.251104565537556,7.827776679934882,63.376666760767485
2010,WTA,2177,10226.0,301737.0,169016.0,4.6972898484152505,3.3890441013200236,56.01434361712352
2011,ATP,2687,29932.0,417198.0,261564.0,11.139560848529959,7.174531038020317,62.695410812132366
2011,WTA,2145,9772.0,298381.0,166523.0,4.555710955710956,3.2750074569091194,55.80884841863255
2012,ATP,2766,32133.0,434233.0,273535.0,11.617136659436008,7.399944269551139,62.99267904558152
2012,WTA,2264,10927.0,312190.0,174609.0,4.826413427561837,3.5001121112143245,55.930362920016655
2013,ATP,2612,31559.0,414761.0,262009.0,12.082312404287903,7.60896034101567,63.171079248048876
2013,WTA,2136,10505.0,301560.0,168351.0,4.918071161048689,3.4835521952513595,55.8267011539992
2014,ATP,2490,31756.0,396062.0,252517.0,12.753413654618473,8.01793658568608,63.756937045210094
2014,WTA,2143,11462.0,305265.0,171476.0,5.34857676154923,3.754770445350761,56.17283343979821
2015,ATP,2620,35018.0,417803.0,267842.0,13.365648854961831,8.38146207662463,64.10724671675406
2015,WTA,1945,10582.0,267673.0,155386.0,5.4406169665809765,3.9533311166983593,58.05068124166427
2016,WTA,2747,14103.0,383328.0,214974.0,5.133964324717874,3.6790946656649135,56.080954169797145
2017,WTA,2845,14815.0,401036.0,225329.0,5.207381370826011,3.6941820684427333,56.18672637867922
2018,WTA,2824,15424.0,397313.0,223981.0,5.461756373937677,3.8820778580111903,56.373941955083275
2019,WTA,2593,14767.0,369661.0,209447.0,5.694947936752796,3.994741127681849,56.659209383732666
2020,WTA,1268,6765.0,179789.0,101589.0,5.335173501577287,3.7627441055904423,56.504569245059486
2021,WTA,2483,13899.0,357212.0,201590.0,5.5976641159887235,3.8909667088451676,56.43427432449078
2022,WTA,2487,13100.0,350315.0,198666.0,5.267390430237233,3.739491600416768,56.71067467850363
2023,WTA,2572,14166.0,364147.0,206482.0,5.5077760497667185,3.890187204617915,56.70292491768434
2024,WTA,2624,14089.0,374620.0,211568.0,5.369283536585366,3.760877689391917,56.47536169985585
