match_id,"ElapsedTime","SetNo","P1GamesWon","P2GamesWon","SetWinner","GameNo","GameWinner","PointNumber","PointWinner","PointServer","Speed_KMH","Rally","P1Score","P2Score","P1Momentum","P2Momentum","P1PointsWon","P2PointsWon","P1Ace","P2Ace","P1Winner","P2Winner","P1DoubleFault","P2DoubleFault","P1UnfErr","P2UnfErr","P1NetPoint","P2NetPoint","P1NetPointWon","P2NetPointWon","P1BreakPoint","P2BreakPoint","P1BreakPointWon","P2BreakPointWon","P1FirstSrvIn","P2FirstSrvIn","P1FirstSrvWon","P2FirstSrvWon","P1SecondSrvIn","P2SecondSrvIn","P1SecondSrvWon","P2SecondSrvWon","P1ForcedError","P2ForcedError","History","Speed_MPH","P1BreakPointMissed","P2BreakPointMissed","ServeIndicator","Serve_Direction","Winner_FH","Winner_BH","P1TurningPoint","P2TurningPoint"
2011-frenchopen-1101,00:00:00,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000,0,0,0,0,0,0,0,0,0
2011-frenchopen-1101,0:00:00,1,0,0,0,1,0,1,1,2,218,16,15,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,22020,135,0,0,2,3,0,0,0,0
2011-frenchopen-1101,0:00:50,1,0,0,0,1,0,2,2,2,162,1,15,15,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,11030,100,0,0,2,1,0,0,0,0
2011-frenchopen-1101,0:01:28,1,0,0,0,1,0,3,2,2,179,1,15,30,1,6,1,2,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,21410,111,0,0,2,1,1,0,0,0
2011-frenchopen-1101,0:02:05,1,0,0,0,1,0,4,1,2,175,2,30,30,4,6,2,2,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11010,108,0,0,2,3,1,0,3,5
2011-frenchopen-1101,0:02:48,1,0,0,0,1,0,5,2,2,180,15,30,40,2,7,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,12020,111,0,0,2,2,0,0,0,0
2011-frenchopen-1101,0:04:13,1,0,1,0,1,2,6,2,2,217,1,0,0,1,11,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,11032,134,0,0,1,2,0,0,0,0
2011-frenchopen-1101,0:05:25,1,0,1,0,2,0,7,1,1,197,1,15,0,3,10,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,22030,122,0,0,1,3,0,0,1,4
2011-frenchopen-1101,0:05:52,1,0,1,0,2,0,8,2,1,149,6,15,15,1,11,3,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11020,92,0,0,1,1,0,0,0,0
2011-frenchopen-1101,0:07:06,1,0,1,0,2,0,9,1,1,190,11,30,15,2,9,4,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,21020,118,0,0,1,3,0,0,0,0
2011-frenchopen-1101,0:07:53,1,0,1,0,2,0,10,2,1,150,2,30,30,1,10,4,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11020,93,0,0,1,1,0,0,2,0
2011-frenchopen-1101,0:08:47,1,0,1,0,2,0,11,1,1,178,1,40,30,4,10,5,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,14000,110,0,0,1,3,0,0,3,1
2011-frenchopen-1101,0:09:14,1,1,1,0,2,1,12,1,1,173,1,0,0,10,10,6,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,13000,107,0,0,2,1,0,0,8,0
2011-frenchopen-1101,0:09:52,1,1,1,0,3,0,13,1,2,173,2,15,0,11,8,7,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,21020,107,0,0,2,2,0,0,10,2
2011-frenchopen-1101,0:10:30,1,1,1,0,3,0,14,2,2,211,1,15,15,11,11,7,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,24000,131,0,0,2,1,0,0,0,0
2011-frenchopen-1101,0:11:36,1,1,1,0,3,0,15,2,2,181,1,15,30,10,13,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,12030,112,0,0,2,1,0,0,0,3
2011-frenchopen-1101,0:12:13,1,1,1,0,3,0,16,2,2,214,1,15,40,10,17,7,9,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,23000,133,0,0,2,3,0,0,1,9
2011-frenchopen-1101,0:12:33,1,1,1,0,3,0,17,1,2,205,2,30,40,11,15,8,9,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,22420,127,0,0,2,3,0,0,0,0
2011-frenchopen-1101,0:13:04,1,1,1,0,3,0,18,1,2,163,2,40,40,12,13,9,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,21020,101,0,0,2,1,0,0,2,0
2011-frenchopen-1101,0:13:47,1,1,1,0,3,0,19,2,2,200,3,40,AD,12,16,9,10,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,22410,124,0,0,2,1,0,1,0,1
2011-frenchopen-1101,0:14:21,1,1,2,0,3,2,20,2,2,218,1,0,0,12,22,9,11,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,23000,135,0,0,1,1,0,0,0,7
2011-frenchopen-1101,0:16:17,1,1,2,0,4,0,21,1,1,194,5,15,0,14,21,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,21030,120,0,0,1,2,0,0,2,8
2011-frenchopen-1101,0:16:50,1,1,2,0,4,0,22,1,1,151,9,30,0,16,20,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,22030,93,0,0,1,2,0,0,4,0
2011-frenchopen-1101,0:17:43,1,1,2,0,4,0,23,1,1,176,5,40,0,17,18,12,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,22020,109,0,0,1,3,0,0,5,0
2011-frenchopen-1101,0:18:17,1,2,2,0,4,1,24,1,1,205,1,0,0,21,17,13,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,21032,127,0,0,2,3,0,0,7,4
2011-frenchopen-1101,0:19:17,1,2,2,0,5,0,25,2,2,176,3,0,15,21,20,13,12,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,21410,109,0,0,2,2,1,0,0,0
2011-frenchopen-1101,0:20:02,1,2,2,0,5,0,26,2,2,203,1,0,30,21,23,13,13,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,21010,126,0,0,2,3,1,0,0,5
2011-frenchopen-1101,0:20:32,1,2,2,0,5,0,27,1,2,207,2,15,30,23,22,14,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,21030,128,0,0,2,3,0,0,2,0
2011-frenchopen-1101,0:20:56,1,2,2,0,5,0,28,2,2,182,1,15,40,22,24,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,11030,113,0,0,2,1,0,0,0,0
2011-frenchopen-1101,0:21:21,1,2,3,0,5,2,29,2,2,206,1,0,0,22,29,14,15,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,21412,128,0,0,1,1,1,0,0,6
2011-frenchopen-1101,0:23:13,1,2,3,0,6,0,30,2,1,185,8,0,15,22,32,14,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21010,115,0,0,1,3,1,0,1,10
2011-frenchopen-1101,0:24:01,1,2,3,0,6,0,31,1,1,151,7,15,15,23,30,15,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,21020,93,0,0,1,1,0,0,0,0
2011-frenchopen-1101,0:24:58,1,2,3,0,6,0,32,1,1,197,3,30,15,25,29,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,22030,122,0,0,1,3,0,0,3,0
2011-frenchopen-1101,0:25:31,1,2,3,0,6,0,33,1,1,177,1,40,15,27,28,17,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,22030,110,0,0,1,1,0,0,5,4
2011-frenchopen-1101,0:26:00,1,3,3,0,6,1,34,1,1,198,1,0,0,32,28,18,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,12012,123,0,0,2,3,0,1,9,0
2011-frenchopen-1101,0:26:40,1,3,3,0,7,0,35,1,2,165,2,15,0,33,26,19,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,22020,102,0,0,2,1,0,0,0,0
2011-frenchopen-1101,0:27:41,1,3,3,0,7,0,36,1,2,160,12,30,0,35,25,20,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,21030,99,0,0,2,3,0,0,0,3
2011-frenchopen-1101,0:28:51,1,3,3,0,7,0,37,1,2,214,4,40,0,37,24,21,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,21430,133,0,0,2,2,0,0,5,4
2011-frenchopen-1101,0:29:31,1,3,3,0,7,0,38,2,2,211,3,40,15,37,27,21,17,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,22010,131,1,0,2,3,0,1,0,0
2011-frenchopen-1101,0:30:05,1,3,3,0,7,0,39,2,2,220,5,40,30,36,29,21,18,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,11030,136,1,0,2,3,0,0,0,0
2011-frenchopen-1101,0:30:43,1,3,3,0,7,0,40,2,2,197,3,40,40,35,31,21,19,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,12030,122,1,0,2,1,0,0,2,7
2011-frenchopen-1101,0:31:20,1,3,3,0,7,0,41,1,2,181,2,AD,40,37,30,22,19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,21030,112,0,0,2,1,0,0,0,0
2011-frenchopen-1101,0:32:11,1,3,3,0,7,0,42,2,2,175,3,40,40,37,33,22,20,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,21010,108,1,0,2,2,1,0,0,0
2011-frenchopen-1101,0:32:59,1,3,3,0,7,0,43,1,2,161,4,AD,40,38,31,23,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,21020,100,0,0,2,1,0,0,3,0
2011-frenchopen-1101,0:33:50,1,4,3,0,7,1,44,1,2,214,8,0,0,46,27,24,20,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,22022,133,0,0,1,2,0,0,9,3
2011-frenchopen-1101,0:34:50,1,4,3,0,8,0,45,1,1,188,1,15,0,48,26,25,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,22030,116,0,0,1,3,0,0,11,7
2011-frenchopen-1101,0:35:50,1,4,3,0,8,0,46,1,1,165,3,30,0,49,24,26,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,22020,102,0,0,1,1,0,0,0,0
2011-frenchopen-1101,0:37:29,1,4,3,0,8,0,47,1,1,144,5,40,0,52,24,27,20,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,12010,89,0,0,1,2,0,1,0,0
2011-frenchopen-1101,0:38:39,1,5,3,0,8,1,48,1,1,161,1,0,0,56,23,28,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,22032,100,0,0,2,1,0,0,8,3
2011-frenchopen-1101,0:39:26,1,5,3,0,9,0,49,2,2,181,1,0,15,55,25,28,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,12030,112,0,0,2,1,0,0,0,0
2011-frenchopen-1101,0:39:57,1,5,3,0,9,0,50,2,2,201,5,0,30,54,27,28,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,11030,124,0,0,2,3,0,0,0,0
2011-frenchopen-1101,0:40:27,1,5,3,0,9,0,51,2,2,185,3,0,40,52,28,28,23,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,11020,115,0,0,2,3,0,0,4,5
2011-frenchopen-1101,0:41:05,1,5,3,0,9,0,52,1,2,0,0,15,40,53,24,29,23,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25000,0,0,0,2,0,0,0,0,0
2011-frenchopen-1101,0:41:41,1,5,4,0,9,2,53,2,2,194,1,0,0,53,29,29,24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,21012,120,0,0,1,1,1,0,0,0
2011-frenchopen-1101,0:43:40,1,5,4,0,10,0,54,1,1,198,1,15,0,56,29,30,24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,14000,123,0,0,1,3,0,0,4,1
2011-frenchopen-1101,0:44:08,1,5,4,0,10,0,55,1,1,172,1,30,0,58,28,31,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,22030,106,0,0,1,1,0,0,5,4
2011-frenchopen-1101,0:44:33,1,5,4,0,10,0,56,1,1,140,5,40,0,61,28,32,24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,11010,87,0,0,1,3,1,0,8,0
2011-frenchopen-1101,0:45:20,1,5,4,0,10,0,57,2,1,149,2,40,15,60,30,32,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,11030,92,0,0,1,2,0,0,0,0
2011-frenchopen-1101,0:46:08,1,6,4,1,10,1,58,1,1,142,1,0,0,66,25,33,25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,22023,88,0,0,2,2,0,0,0,3
2011-frenchopen-1101,0:47:08,2,0,0,0,1,0,59,1,2,180,2,15,0,67,23,34,25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21020,111,0,0,2,1,0,0,6,5
2011-frenchopen-1101,0:48:08,2,0,0,0,1,0,60,1,2,171,16,30,0,68,21,35,25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,21020,106,0,0,2,2,0,0,8,9
2011-frenchopen-1101,0:49:08,2,0,0,0,1,0,61,2,2,165,3,30,15,67,23,35,26,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,11030,102,0,0,2,1,0,0,0,0
2011-frenchopen-1101,0:50:57,2,0,0,0,1,0,62,1,2,170,2,40,15,68,21,36,26,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,21020,105,0,0,2,2,0,0,0,0
2011-frenchopen-1101,0:51:31,2,0,0,0,1,0,63,2,2,186,3,40,30,68,24,36,27,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,21410,115,1,0,2,1,1,0,0,3
2011-frenchopen-1101,0:52:09,2,1,0,0,1,1,64,1,2,213,4,0,0,74,20,37,27,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,21022,132,0,0,1,2,0,0,7,0
2011-frenchopen-1101,0:53:27,2,1,0,0,2,0,65,2,1,148,14,0,15,73,22,37,28,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,11430,92,0,0,1,2,0,0,0,0
2011-frenchopen-1101,0:54:44,2,1,0,0,2,0,66,1,1,167,1,15,15,75,21,38,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,22030,103,0,0,1,1,0,0,0,3
2011-frenchopen-1101,0:55:11,2,1,0,0,2,0,67,1,1,144,3,30,15,76,19,39,28,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,22020,89,0,0,1,2,0,0,2,0
2011-frenchopen-1101,0:55:52,2,1,0,0,2,0,68,1,1,168,1,40,15,78,18,40,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,22030,104,0,0,1,1,0,0,5,4
2011-frenchopen-1101,0:56:17,2,2,0,0,2,1,69,1,1,204,3,0,0,83,18,41,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,11012,126,0,0,2,3,1,0,8,0
2011-frenchopen-1101,0:56:58,2,2,0,0,3,0,70,2,2,201,1,0,15,82,20,41,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,12030,124,0,0,2,1,0,0,0,0
2011-frenchopen-1101,0:57:17,2,2,0,0,3,0,71,1,2,206,6,15,15,83,18,42,29,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,22020,128,0,0,2,3,0,0,0,0
2011-frenchopen-1101,0:57:44,2,2,0,0,3,0,72,2,2,192,1,15,30,83,22,42,30,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,23000,119,0,0,2,1,0,0,0,4
2011-frenchopen-1101,0:58:09,2,2,0,0,3,0,73,2,2,203,1,15,40,82,24,42,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,11030,126,0,0,2,1,0,0,0,0
2011-frenchopen-1101,0:58:32,2,2,1,0,3,2,74,2,2,206,5,0,0,82,29,42,32,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,22412,128,0,0,1,2,0,1,1,11
2011-frenchopen-1101,0:59:32,2,2,1,0,4,0,75,1,1,194,1,15,0,84,28,43,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,22030,120,0,0,1,3,0,0,0,0
2011-frenchopen-1101,1:01:02,2,2,1,0,4,0,76,1,1,199,5,30,0,86,27,44,32,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,22030,123,0,0,1,2,0,0,4,0
2011-frenchopen-1101,1:01:38,2,2,1,0,4,0,77,1,1,189,5,40,0,89,27,45,32,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,12410,117,0,0,1,1,0,1,7,2
2011-frenchopen-1101,1:02:21,2,3,1,0,4,1,78,1,1,165,5,0,0,93,26,46,32,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,22032,102,0,0,2,1,0,0,9,0
2011-frenchopen-1101,1:03:13,2,3,1,0,5,0,79,2,2,182,7,0,15,91,27,46,33,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,12020,113,0,0,2,1,0,0,0,0
2011-frenchopen-1101,1:03:46,2,3,1,0,5,0,80,2,2,194,1,0,30,90,29,46,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,11030,120,0,0,2,2,0,0,0,2
2011-frenchopen-1101,1:04:06,2,3,1,0,5,0,81,1,2,190,1,15,30,93,29,47,34,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12010,118,0,0,2,1,0,1,0,3
2011-frenchopen-1101,1:04:30,2,3,1,0,5,0,82,2,2,157,1,15,40,91,30,47,35,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,11020,97,0,0,2,1,0,0,0,0
2011-frenchopen-1101,1:05:04,2,3,2,0,5,2,83,2,2,170,5,0,0,89,33,47,36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,11022,105,0,0,1,1,0,0,1,4
2011-frenchopen-1101,1:06:04,2,3,2,0,6,0,84,1,1,198,1,15,0,91,32,48,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,22030,123,0,0,1,2,0,0,2,0
2011-frenchopen-1101,1:07:30,2,3,2,0,6,0,85,1,1,164,1,30,0,93,31,49,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,22030,101,0,0,1,1,0,0,0,0
2011-frenchopen-1101,1:08:17,2,3,2,0,6,0,86,1,1,196,5,40,0,95,30,50,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,21030,121,0,0,1,3,0,0,6,3
2011-frenchopen-1101,1:08:48,2,4,2,0,6,1,87,1,1,210,1,0,0,101,30,51,36,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,13000,130,0,0,2,3,0,0,10,0
2011-frenchopen-1101,1:09:32,2,4,2,0,7,0,88,2,2,166,7,0,15,99,31,51,37,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,11020,103,0,0,2,2,0,0,0,0
