match_id,ElapsedTime,SetNo,P1GamesWon,P2GamesWon,SetWinner,GameNo,GameWinner,PointNumber,PointWinner,PointServer,Speed_KMH,Rally,P1Score,P2Score,P1Momentum,P2Momentum,P1PointsWon,P2PointsWon,P1Ace,P2Ace,P1Winner,P2Winner,P1DoubleFault,P2DoubleFault,P1UnfErr,P2UnfErr,P1NetPoint,P2NetPoint,P1NetPointWon,P2NetPointWon,P1BreakPoint,P2BreakPoint,P1BreakPointWon,P2BreakPointWon,P1FirstSrvIn,P2FirstSrvIn,P1FirstSrvWon,P2FirstSrvWon,P1SecondSrvIn,P2SecondSrvIn,P1SecondSrvWon,P2SecondSrvWon,P1ForcedError,P2ForcedError,History,Speed_MPH,P1BreakPointMissed,P2BreakPointMissed,ServeIndicator,Serve_Direction,Winner_FH,Winner_BH,ServingTo,P1TurningPoint,P2TurningPoint,ServeNumber,WinnerType,WinnerShotType,P1DistanceRun,P2DistanceRun,RallyCount,ServeWidth,ServeDepth,ReturnDepth
2017-frenchopen-1101,0:00:00,1,0,0,0,1,0,0,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,,,,,,,0,0,0,0.000,0.000,0,,,
2017-frenchopen-1101,0:00:00,1,0,0,0,1,0,1,2,1,138,,0,15,,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,12020,85,0,0,1,,,,,,,2,0,0,5.363,5.417,2,C,NCTL,ND
2017-frenchopen-1101,0:00:44,1,0,0,0,1,0,2,2,1,185,,0,30,,,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,11020,115,0,0,1,,,,,,,1,0,0,22.752,18.474,8,C,NCTL,D
2017-frenchopen-1101,0:01:27,1,0,0,0,1,0,3,2,1,136,,0,40,,,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,12020,84,0,0,1,,,,,,,2,0,0,29.321,22.901,10,C,NCTL,ND
2017-frenchopen-1101,0:02:25,1,0,0,0,1,0,4,1,1,123,,15,40,,,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,12010,76,0,1,1,,,,,,,2,0,B,8.945,9.605,3,W,CTL,ND
2017-frenchopen-1101,0:03:09,1,0,0,0,1,0,5,1,1,202,,30,40,,,2,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,13000,125,0,1,1,,,,,,,1,0,0,1.560,1.990,1,C,NCTL,
2017-frenchopen-1101,0:03:36,1,0,0,0,1,0,6,1,1,188,,40,40,,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,21030,116,0,1,1,,,,,,,1,0,0,2.909,4.266,1,C,NCTL,
2017-frenchopen-1101,0:04:05,1,0,0,0,1,0,7,1,1,151,,AD,40,,,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,12010,93,0,0,1,,,,,,,2,0,B,10.012,11.144,3,C,NCTL,ND
2017-frenchopen-1101,0:04:46,1,1,0,0,1,1,8,1,1,191,,0,0,,,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,21032,118,0,0,2,,,,,,,1,0,0,2.888,4.429,1,C,CTL,ND
2017-frenchopen-1101,0:05:37,1,1,0,0,2,0,9,2,2,171,,0,15,,,5,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,21010,106,0,0,2,,,,,,,1,0,F,14.922,12.729,3,W,NCTL,ND
